"","Num1","Palo1","Num2","Palo2","Pasar","Ver","Subir"
"152",5,1,7,1,0,0.85,0.15
"153",5,1,8,1,0,0.85,0.15
"154",5,1,9,1,0.0375,0.825,0.1375
"155",5,1,10,1,0,0,0
"156",5,1,11,1,0,0,0
"157",5,1,12,1,0,0,0
"158",5,1,13,1,0,0.85,0.15
"159",5,1,14,1,0,0.85,0.15
"160",5,1,2,2,0,0.85,0.15
"161",5,1,3,2,0,0,0
"162",5,1,4,2,0,0,0
"163",5,1,5,2,0.0375,0.825,0.1375
"164",5,1,6,2,0,0.85,0.15
"165",5,1,7,2,0,0,0
"166",5,1,8,2,0,0,0
"167",5,1,9,2,0.0375,0.825,0.1375
"168",5,1,10,2,0,0,0
"169",5,1,11,2,0,0,0
"170",5,1,12,2,0,0.85,0.15
"171",5,1,13,2,0,0.85,0.15
"172",5,1,14,2,0,0,0
"173",5,1,2,3,0,0,0
"174",5,1,3,3,0.0375,0.825,0.1375
"175",5,1,4,3,0,0.85,0.15
"176",5,1,5,3,0.0375,0.825,0.1375
"177",5,1,6,3,0,0.85,0.15
"178",5,1,7,3,0,0.85,0.15
"179",5,1,8,3,0,0.85,0.15
"180",5,1,9,3,0.0375,0.825,0.1375
"181",5,1,10,3,0,0.85,0.15
"182",5,1,11,3,0.0375,0.825,0.1375
"183",5,1,12,3,0,0.85,0.15
"184",5,1,13,3,0,0.85,0.15
"185",5,1,14,3,0,0.85,0.15
"186",5,1,2,4,0,0.85,0.15
"187",5,1,3,4,0,0,0
"188",5,1,4,4,0,0,0
"189",5,1,5,4,0.0375,0.825,0.1375
"190",5,1,6,4,0,0.85,0.15
"191",5,1,7,4,0,0.85,0.15
"192",5,1,8,4,0,0.85,0.15
"193",5,1,9,4,0,0,0
"194",5,1,10,4,0,0.85,0.15
"195",5,1,11,4,0,0,0
"196",5,1,12,4,0,0,0
"197",5,1,13,4,0,0,0
"198",5,1,14,4,0,0.85,0.15
"199",6,1,7,1,0,0.85,0.15
"200",6,1,8,1,0,0.85,0.15
"201",6,1,9,1,0.0375,0.825,0.1375
"202",6,1,10,1,0,0,0
"203",6,1,11,1,0,0,0
"204",6,1,12,1,0,0,0
"205",6,1,13,1,0,0.85,0.15
"206",6,1,14,1,0,0.85,0.15
"207",6,1,2,2,0,0.85,0.15
"208",6,1,3,2,0,0,0
"209",6,1,4,2,0,0,0
"210",6,1,5,2,0,0.85,0.15
"211",6,1,6,2,0.0375,0.825,0.1375
"212",6,1,7,2,0,0,0
"213",6,1,8,2,0,0,0
"214",6,1,9,2,0.0375,0.825,0.1375
"215",6,1,10,2,0,0,0
"216",6,1,11,2,0,0,0
"217",6,1,12,2,0,0.85,0.15
"218",6,1,13,2,0,0.85,0.15
"219",6,1,14,2,0,0,0
"220",6,1,2,3,0,0,0
"221",6,1,3,3,0.0375,0.825,0.1375
"222",6,1,4,3,0,0.85,0.15
"223",6,1,5,3,0,0.85,0.15
"224",6,1,6,3,0.0375,0.825,0.1375
"225",6,1,7,3,0,0.85,0.15
"226",6,1,8,3,0,0.85,0.15
"227",6,1,9,3,0.0375,0.825,0.1375
"228",6,1,10,3,0,0.85,0.15
"229",6,1,11,3,0.0375,0.825,0.1375
"230",6,1,12,3,0,0.85,0.15
"231",6,1,13,3,0,0.85,0.15
"232",6,1,14,3,0,0.85,0.15
"233",6,1,2,4,0,0.85,0.15
"234",6,1,3,4,0,0,0
"235",6,1,4,4,0,0,0
"236",6,1,5,4,0,0.85,0.15
"237",6,1,6,4,0.0375,0.825,0.1375
"238",6,1,7,4,0,0.85,0.15
"239",6,1,8,4,0,0.85,0.15
"240",6,1,9,4,0,0,0
"241",6,1,10,4,0,0.85,0.15
"242",6,1,11,4,0,0,0
"243",6,1,12,4,0,0,0
"244",6,1,13,4,0,0,0
"245",6,1,14,4,0,0.85,0.15
"246",7,1,8,1,0,0.85,0.15
"247",7,1,9,1,0.0375,0.825,0.1375
"248",7,1,10,1,0,0,0
"249",7,1,11,1,0,0,0
"250",7,1,12,1,0,0,0
"251",7,1,13,1,0,0.85,0.15
"252",7,1,14,1,0,0.85,0.15
"253",7,1,2,2,0,0.85,0.15
"254",7,1,3,2,0,0,0
"255",7,1,4,2,0,0,0
"256",7,1,5,2,0,0.85,0.15
"257",7,1,6,2,0,0.85,0.15
"258",7,1,7,2,0,0,0
"259",7,1,8,2,0,0,0
"260",7,1,9,2,0.0375,0.825,0.1375
"261",7,1,10,2,0,0,0
"262",7,1,11,2,0,0,0
"263",7,1,12,2,0,0.85,0.15
"264",7,1,13,2,0,0.85,0.15
"265",7,1,14,2,0,0,0
"266",7,1,2,3,0,0,0
"267",7,1,3,3,0.0375,0.825,0.1375
"268",7,1,4,3,0,0.85,0.15
"269",7,1,5,3,0,0.85,0.15
"270",7,1,6,3,0,0.85,0.15
"271",7,1,7,3,0.0375,0.825,0.1375
"272",7,1,8,3,0,0.85,0.15
"273",7,1,9,3,0.0375,0.825,0.1375
"274",7,1,10,3,0,0.85,0.15
"275",7,1,11,3,0.0375,0.825,0.1375
"276",7,1,12,3,0,0.85,0.15
"277",7,1,13,3,0,0.85,0.15
"278",7,1,14,3,0,0.85,0.15
"279",7,1,2,4,0,0.85,0.15
"280",7,1,3,4,0,0,0
"281",7,1,4,4,0,0,0
"282",7,1,5,4,0,0.85,0.15
"283",7,1,6,4,0,0.85,0.15
"284",7,1,7,4,0.0375,0.825,0.1375
"285",7,1,8,4,0,0.85,0.15
"286",7,1,9,4,0,0,0
"287",7,1,10,4,0,0.85,0.15
"288",7,1,11,4,0,0,0
"289",7,1,12,4,0,0,0
"290",7,1,13,4,0,0,0
"291",7,1,14,4,0,0.85,0.15
"292",8,1,9,1,0.0375,0.825,0.1375
"293",8,1,10,1,0,0,0
"294",8,1,11,1,0,0,0
"295",8,1,12,1,0,0,0
"296",8,1,13,1,0,0.85,0.15
"297",8,1,14,1,0,0.85,0.15
"298",8,1,2,2,0,0.85,0.15
"299",8,1,3,2,0,0,0
"300",8,1,4,2,0,0,0
"301",8,1,5,2,0,0.85,0.15
"302",8,1,6,2,0,0.85,0.15
"303",8,1,7,2,0,0,0
"304",8,1,8,2,0,0,0
"305",8,1,9,2,0.0375,0.825,0.1375
"306",8,1,10,2,0,0,0
"307",8,1,11,2,0,0,0
"308",8,1,12,2,0,0.85,0.15
"309",8,1,13,2,0,0.85,0.15
"310",8,1,14,2,0,0,0
"311",8,1,2,3,0,0,0
"312",8,1,3,3,0.0375,0.825,0.1375
"313",8,1,4,3,0,0.85,0.15
"314",8,1,5,3,0,0.85,0.15
"315",8,1,6,3,0,0.85,0.15
"316",8,1,7,3,0,0.85,0.15
"317",8,1,8,3,0.0375,0.825,0.1375
"318",8,1,9,3,0.0375,0.825,0.1375
"319",8,1,10,3,0,0.85,0.15
